"ParameterID","FeatureSet","Name","Question","PossibleValues","datatype","Derived","Map"
"NounPoss-11","NounPoss","nonpossessible class valency","If yes to NounPoss.10, list their valency types.","; list of [Obligatorily possessed, Optionally possessed, Non-possessible ] | NA","""multi-valued""","TRUE",
"NounPoss-110","NounPoss","possession PSSR","Does any possession class use the PSSR construction?","yes | no","""single-valued""","TRUE",
"NounPoss-110a","NounPoss","possession PSSR semantics","Which semantic classes use PSSR?","NA | ; separated list of [ default & non-possessible & inalienable & mixed ]","""multi-valued""","TRUE",
"NounPoss-111","NounPoss","possession PSSR + PSSD","Does any possession class use the PSSR + PSSD construction?","yes | no","""single-valued""","TRUE",
"NounPoss-111a","NounPoss","possession PSSR + PSSD semantics","Which semantic classes use PSSR + PSSD?","NA | ; separated list of [ default & non-possessible & inalienable & mixed ]","""multi-valued""","TRUE",
"NounPoss-112","NounPoss","possession LINKER","Does any possession class use the LINKER construction?","yes | no","""single-valued""","TRUE",
"NounPoss-112a","NounPoss","possession LINKER semantics","Which semantic classes use LINKER?","NA | ; separated list of [ default & non-possessible & inalienable & mixed ]","""multi-valued""","TRUE",
"NounPoss-113","NounPoss","possession CLASS","Does any possession class use the CLASS construction?","yes | no","""single-valued""","TRUE",
"NounPoss-113a","NounPoss","possession CLASS semantics","Which semantic classes use CLASS?","NA | ; separated list of [ default & non-possessible & inalienable & mixed ]","""multi-valued""","TRUE",
"NounPoss-114","NounPoss","possession CLAUSE","Does any possession class use the CLAUSE construction?","yes | no","""single-valued""","TRUE",
"NounPoss-114a","NounPoss","possession CLAUSE semantics","Which semantic classes use CLAUSE?","NA | ; separated list of [ default & non-possessible & inalienable & mixed ]","""multi-valued""","TRUE",
"NounPoss-115","NounPoss","possession suppletion","Are there any suppletive possessive pairs?","yes | no","""single-valued""","TRUE",
"NounPoss-12","NounPoss","nonpossessible class possession","If yes to NounPoss.10, can the conceptually non-possessible class ever be possessed?","Yes | No | Yes and No | NA","""single-valued""","TRUE",
"NounPoss-13","NounPoss","nonpossessible class possession construction","If yes to NounPoss.12, what is the construction type it is possesed with?","; list of [ CLASS, CLAUSE, MARKER, JUXT ] | NA","""multi-valued""","TRUE",
"NounPoss-14","NounPoss","formal classes","How many formal classes are there?","_number_","""integer""","TRUE",
"NounPoss-15","NounPoss","semantically motivated classes","How many semantically motivated classes are there?","_number_","""integer""","TRUE",
"NounPoss-16","NounPoss","inalienable classes","How many inalienable classes are there?","_number_","""integer""","TRUE",
"NounPoss-17","NounPoss","non-possessible classes","How many non-possessible classes are there?","_number_","""integer""","TRUE",
"NounPoss-201","NounPoss","default construction","What are the possession strategies for the default class?","; separated list of [ MARKER, PSSR, PSSD, PSSR-PSSD, JUXT, LINKER, CLASS, CLAUSE ]","""multi-valued""","TRUE",
"NounPoss-202","NounPoss","inalienable construction","What are the possession strategies for inalienable classes?","; separated list of [ MARKER, PSSR, PSSD, PSSR-PSSD, JUXT, LINKER, CLASS, CLAUSE ] | NA","""multi-valued""","TRUE",
"NounPoss-203","NounPoss","non-possessible construction","What are the possession strategies for non-possessible classes?","; separated list of [ MARKER, PSSR, PSSD, PSSR-PSSD, JUXT, LINKER, CLASS, CLAUSE ] | NA","""multi-valued""","TRUE",
"Ppron-001","Ppron","Free pronouns","Does the language have free pronouns?","yes | no","""single-valued""","FALSE","TRUE"
"Ppron-002","Ppron","Pronoun paradigm encodes all","Does this paradigm encode all distinctions in person marking (clusivity, plurality, etc) that the language makes?","yes-auto | yes | no","""single-valued""","FALSE","FALSE"
"Ppron-003","Ppron","Clusivity in indexation only","Is there an indexation paradigm that encodes clusivity while the pronominal system does not?","yes | no | NA","""single-valued""","FALSE","FALSE"
"Ppron-01","Ppron","Clusivity","Does the language distinguish between 1INCL (1+2) and 1EXCL (1+3)?","yes | no | NA","""single-valued""","FALSE","TRUE"
"Ppron-01a","Ppron","Clusivity anywhere","Does the language distinguish inclusive and exclusive first person anywhere?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Ppron-02","Ppron","1 = 1+3","Is the first singular (1) identical with first exclusive (1+3), or “unified we” (if there is no inclusive-exclusive distinction)?","yes | no | NA","""single-valued""","FALSE","TRUE"
"Ppron-03","Ppron","1 = 1+2 = 1+3","If the language does not have an incl-excl distinction (i.e. if no to Q1), does it use for all “we” contexts (1+2, 1+3, 1+2+3) the same morpheme used for “I” (1st sg)?","yes | no | NA","""single-valued""","FALSE","TRUE"
"Ppron-04","Ppron","1pl endonym type","Is the form of the first person plural (inclusive, exclusive, unified we) related to the name of the people?","inclusive | exclusive | unified we | no | NA","""single-valued""","FALSE","TRUE"
"Ppron-04a","Ppron","1pl endonym","Is the name of the people related to some 1st person form?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Ppron-05","Ppron","Minimal-augmented","If the language distinguishes between 1INCL & 1EXCL (i.e. if yes to Q1), does the 1INCL (1+2) behave like another person? In most cases this will be manifesting itself as the 1INCL having as many number distinctions as the 1EXCL","yes | no | NA","""single-valued""","FALSE","TRUE"
"Ppron-06","Ppron","1sg-1excl relationship","If no to Ppron.02 (i.e., no unified 1st person), what is the morphological relationship between the 1st person exclusive (or unified we) and 1sg?","1excl or pl is 1sg plus pl | 1excl or pl includes 1sg | no relation | NA","""single-valued""","FALSE","TRUE"
"Ppron-06a","Ppron","1excl includes 1sg","If no to Ppron.02, is the morphology of the 1st person singular included in the 1st person exclusive (or unified we)?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Ppron-06b","Ppron","1excl = 1 + pl","If 1sg and 1excl (or unified we) are morphologically related, (i.e. if yes to Ppron.06a), is the 1st person exclusive (or unified we) derived from 1sg with pluralizing morphology?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Ppron-07","Ppron","1sg-1incl relationship","If no to Ppron.05, what is the morphological relationship between the 1st person inclusive and 1sg?","1incl is 1sg plus pl | 1incl includes 1sg | no relation | NA","""single-valued""","FALSE","TRUE"
"Ppron-07a","Ppron","1incl includes 1sg","If yes to Ppron.01, is the morphology of the 1st person singular included in the 1st person inclusive?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Ppron-07b","Ppron","1incl = 1 + pl","If yes to Ppron.07a, is the 1st person inclusive derived from 1sg with pluralizing morphology?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Ppron-08","Ppron","2sg = 2pl","Is the 2nd person singular (or minimal) pronoun the same as the one for 2nd person plural (or augmented) (2+3)?","yes | no | NA","""single-valued""","FALSE","TRUE"
"Ppron-08a","Ppron","If 1sg = 1pl, 2sg = 2pl","If no Ppron.02, is the 2nd person singular (or minimal) the same as the one used for 2nd person plural (or augmented) (2+3)?","yes | no | NA","""single-valued""","TRUE","TRUE"
"Ppron-09","Ppron","3sg = 3pl","Is the 3rd person singular pronoun (or minimal) the same as the one for 3rd person plural (or augmented) (3+3)?","yes | no | NA","""single-valued""","FALSE","TRUE"
"Ppron-09a","Ppron","If 2sg = 2pl, 3sg = 3pl","If no to Ppron.08a, is the 3rd person singular (or minimal) pronoun (or indexation) the same as the one for 3rd person plural?","yes | no | NA","""single-valued""","TRUE","TRUE"
"SgPl-01","SgPl","Sg-Pl alternation","Does the language have a lexically restricted SG:PL (or individual-collective) stem alternation in verbs?","yes | no","""single-valued""","FALSE",
"SgPl-01a","SgPl","Sg-Pl alternation or irregular monoexponential plural","Does the language have one or both of Sg-Pl alternation and irregular monoexponential plurals?","Sg-Pl | irregular MonoPl | Sg-Pl and irregular MonoPl | none","""single-valued""","TRUE",
"SgPl-02","SgPl","Sg-Pl pattern","If yes to Q1, is there a regular pattern among at least some of these verbs to derive the plural/collective meaning?","yes | no common pattern | NA","""single-valued""","FALSE",
"SgPl-03","SgPl","Sg-Pl pattern number","How many Sg-Pl verb alternations have a regular pattern?","NA | _number_","""integer""","FALSE",
"SgPl-04","SgPl","Sg-Pl supplion","If yes to SgPl.01, is there root suppletion among at least some of the verbs to derive the plural/collective meaning?","yes | no | NA","""single-valued""","FALSE",
"SgPl-05","SgPl","Sg-Pl supplion number","How many Sg-Pl verb alternations are suppletive?","NA | _number_","""integer""","FALSE",
"SgPl-06","SgPl","Sg-Pl supplion semantics","If yes to SgPl.04, is at least some of this root suppletion associated with the expected semantics (posture, motion, die/sleep/eat/cry/kill)?","yes | no | NA","""single-valued""","FALSE",
"SgPl-07","SgPl","Sg-Pl transitivity","If so (yes to SgPl.01), then do the verb pairs involve intransitive roots only, transitive roots only, or both?","intransitive | transitive | both | NA","""single-valued""","FALSE",
"SgPl-08","SgPl","Sg-Pl posture","Does any pair involve the semantics of spontaneous or caused posture?","yes | no | NA","""single-valued""","FALSE",
"SgPl-09","SgPl","Sg-Pl posture number","How many verbs of spontaneous or caused posture have sg-pl suppletive alternations?","NA | _number_","""integer""","FALSE",
"SgPl-10","SgPl","Sg-Pl motion","Does any pair involve the semantics of spontaneous or caused motion?","yes | no | NA","""single-valued""","FALSE",
"SgPl-11","SgPl","Sg-Pl motion number","How many verbs of spontaneous or caused motion have sg-pl suppletive alternations?","NA | _number_","""integer""","FALSE",
"SgPl-12","SgPl","Sg-Pl further semantics","What other salient semantics (both in regular and suppletive alternation) is present in this list of verbs?","description | NA","""single-valued""","FALSE",
"SgPl-13","SgPl","Sg-Pl cry/die/sleep number","If Yes to Sg.Pl01, how many verb pairs with suppletive alternations are from 'cry', 'die', 'kill', 'sleep', and 'eat'?","NA | _number_","""integer""","FALSE",
"SgPl-14","SgPl","Sg-Pl other number","If Yes to Sg.Pl01, how many verb pairs with suppletive alternations are different from 'cry', 'die', 'eat', 'kill' and 'sleep', caused or spontaneous posture, and caused or spontaneous motion?","NA | _number_","""integer""","FALSE",
"SgPl-15","SgPl","Sg-Pl shared pl forms","Do multiple different sg verbs share a pl verb form (e.g., sg 'sit' + sg 'lie' share a plural 'sit/lie')?","NA | yes | no","""single-valued""","FALSE",
"SgPl-16","SgPl","Sg-Pl intr type","If intransitive pairs are attested in the language, what kind of intransitive verbs have the singular/plural alternation?","unaccusative | unergative | both | NA","""single-valued""","FALSE",
"SgPl-16a","SgPl","Sg-Pl unergative","If intransitive pairs are attested in the language, do unergative verbs supplete?","yes | no | NA","""single-valued""","TRUE",
"SgPl-16b","SgPl","Sg-Pl unaccusative","If intransitive pairs are attested in the language, do unaccusative verbs supplete?","yes | no | NA","""single-valued""","TRUE",
"SgPl-17","SgPl","Sg-Pl intr to trans","If intransitive pairs are attested in the language, can (one or more of) the plural forms also be used as transitive verbs?","yes | no | NA","""single-valued""","FALSE",
"SgPl-18","SgPl","Sg-Pl transitive argument","If transitive pairs are attested in the language, which argument is plural?","a | p | either | both | NA","""single-valued""","FALSE",
"SgPl-19","SgPl","Sg-Pl number","What are the semantics of the SG:PL contrast?","NA | [ sg-pl , paucal-many , individual-collective , sg-du-pl , sg-paucal-pl ]","""single-valued""","FALSE",
"SgPl-19a","SgPl","Sg-Pl tripartite","If singular-plural alternation is attested in the language, do at least some verbs have a tripartite distinction?","yes | no | NA","""single-valued""","TRUE",
"SgPl-20","SgPl","Sg-Pl morphology","Does the language have verbal morphology with a distinct plural form? (Elements only encoding number are excluded.)","yes | no","""single-valued""","FALSE",
"SgPl-21","SgPl","Sg-Pl pluractional","If yes to SgPl.01, can the pairs also mark aspectual meanings like pluractionality / aspect / iterativity?","yes | no | NA","""single-valued""","FALSE",
"SgPl-22","SgPl","Sg-Pl adj","If yes to SgPl.01, does the language have a lexically restricted SG-PL (or individual-collective) stem alternation in adjectives?","yes | property concept verbs | no | NA","""single-valued""","FALSE",
"SocCaus-01","SocCaus","Sociative causation","Does the language have a dedicated construction to express sociative causation?","no | yes","""single-valued""","FALSE",
"SocCaus-02","SocCaus","Sociative causation dedicated construction","If yes to Q1, what kind of construction is sociative causation expressed with?","NA | morpheme | special causee | dir-and-indir-caus | caus-and-appl | caus-and-soc | caus-and-other","""single-valued""","FALSE",
"SocCaus-03","SocCaus","Sociative causation lexemes","What are the verbal lexemes attested with the sociative causative construction, and what are the sociative causative semantics? (if yes to SocCaus.01)","description | NA","""single-valued""","FALSE",
"SocCaus-04","SocCaus","Sociative causation non-dedicated construction","Does the language use a non-dedicated construction to encode sociative causation?","| [ dir-caus_soc-caus , indir-caus_soc-caus , rec_soc-caus , appl_soc-caus , copart_soc-caus , other ]","""single-valued""","FALSE",
"Syll-01","Syll","Onset number","Max onset pattern","_number_","""integer""","FALSE","TRUE"
"Syll-02","Syll","Coda number","Max coda pattern","_number_","""integer""","FALSE","TRUE"
"Syll-03","Syll","Syllable consonant number","Sum max onset and coda","_number_","""integer""","FALSE","TRUE"
"Syll-04","Syll","Syllable complexity","Complexity category","s | mc | c | hc","""single-valued""","FALSE","TRUE"
"Syll-05","Syll","Onset structure","What is the maximum onset structure?","c | cg | ccplus","""single-valued""","FALSE","TRUE"
"Syll-06","Syll","Coda structure","What are coda patterns of language?","nocoda | sonorant | simple | complex","""single-valued""","FALSE","TRUE"
"ToneProm-01","ToneProm","Accent","Does the language have at least one system of syllable/mora prominence constrained to the prosodic word? (i.e. an accent system)","yes | no","""single-valued""","FALSE","TRUE"
"ToneProm-01a","ToneProm","Contrastive accent","If you have one or more accentual systems, is at least one of them contrastive?","contrastive | non-contrastive | NA","""single-valued""","TRUE","TRUE"
"ToneProm-02","ToneProm","Accent correlate","If yes to ToneProm.01, how many word-demarcating prominence (accent) systems are there in the language, and what is/are their primary correlate(s)?","NA | [ amplitude & pitch & duration ]","""single-valued""","FALSE","TRUE"
"ToneProm-02a","ToneProm","Accent correlate flat list","If there is at least one prominence system, what is/are their primary correlates?","; separated list of [ amplitude, pitch, duration ] | NA","""multi-valued""","TRUE","TRUE"
"ToneProm-03","ToneProm","Pitch accent","If yes to ToneProm.01, is there an accent system primarily realised through pitch height distinctions?","yes | no | NA","""single-valued""","FALSE","TRUE"
"ToneProm-04","ToneProm","Pitch accent contrastiveness","If yes to ToneProm.03, is the pitch-based accent system contrastive or non-contrastive?","contrastive | non-contrastive | NA","""single-valued""","FALSE","TRUE"
"ToneProm-05","ToneProm","Amplitude accent","If yes to ToneProm.01, is there an accent system primarily realised through amplitude/loudness distinctions (e.g. English)?","yes | no | NA","""single-valued""","FALSE","TRUE"
"ToneProm-06","ToneProm","Amplitude accent contrastiveness","If yes to ToneProm.05, is the amplitude-based accent system contrastive or non-contrastive?","contrastive | non-contrastive | NA","""single-valued""","FALSE","TRUE"
"ToneProm-07","ToneProm","Duration accent","If yes to ToneProm.01, is there an accent system primarily realised through duration or syllable weight?","yes | no | NA","""single-valued""","FALSE","TRUE"
"ToneProm-08","ToneProm","Duration accent contrastiveness","If yes to ToneProm.07, is the duration-based accent system contrastive or non-contrastive?","contrastive | non-contrastive | NA","""single-valued""","FALSE","TRUE"
"ToneProm-09","ToneProm","Tone","Does the language have lexical or grammatical tone in the sense of being necessarily referenced in the phonology/grammar of the language?","yes | no","""single-valued""","FALSE","TRUE"
"ToneProm-09a","ToneProm","Pitch accent or tone","Does the language have pitch accent or tone?","yes | no","""single-valued""","TRUE","TRUE"
"ToneProm-09b","ToneProm","Contrastive pitch accent or tone","Does the language have contrastive pitch accent or tone?","yes | no","""single-valued""","TRUE","TRUE"
"ToneProm-10","ToneProm","Tone type","If yes to ToneProm.09, is the system described a lexical tone system or a grammatical tone system?","lexical | grammatical | both | NA","""single-valued""","FALSE","TRUE"
"ToneProm-11","ToneProm","Tone number","If yes to ToneProm.09, If yes to ToneProm.09, how many tonal contrasts (tonemes) are described?","_number_ | NA","""integer""","FALSE","TRUE"
"ToneProm-11a","ToneProm","Tone number = 2 | > 2","Are there 2 or more than 2 tones distinguished?","2 | more than 2 | NA","""single-valued""","TRUE","FALSE"
"ToneProm-11b","ToneProm","Tone number <= 3 | > 3","Are there up to 3 or more than 3 tones distinguished?","up to 3 | more than 3 | NA","""single-valued""","TRUE","FALSE"
"ToneProm-11c","ToneProm","Tone number <= 4 | > 4","Are there up to 4 or more than 4 tones distinguished?","up to 4 | more than 4 | NA","""single-valued""","TRUE","FALSE"
"ToneProm-12","ToneProm","Tone and phonation","If yes to ToneProm.09, are tone categories inherently linked with phonation types?","yes | no | NA","""single-valued""","FALSE","TRUE"
"VelUv-01","VelUv","Velar and uvular plosives","Does the language have a phonemic distinction between velar and uvular plosives?","yes | no","""single-valued""","FALSE","TRUE"
"VelUv-01a","VelUv","Velar/uvular distinction","Does the language have a velar-uvular distinction in either plosives or fricatives?","yes | no","""single-valued""","TRUE","TRUE"
"VelUv-02","VelUv","Velar and uvular continuants","Does the language have a phonemic distinction between velar and uvular continuants?","yes | no","""single-valued""","FALSE","TRUE"
"VelUv-02a","VelUv","Velar and uvular continuants if plosives","If yes to VelUv.01, is there a velar-uvular distinction in the continuants as well?","yes | no | NA","""single-valued""","TRUE","TRUE"
"WO-01","WO","Clause order","What is the word order for non-marked transitive clauses?","no dominant order | svo | sov | vso | ovs | osv | vos | v-first | v-last | s-last | other","""single-valued""","FALSE",
"WO-01a","WO","Fixed word order","Is there a dominant or fixed standard word order in main declarative transitive clauses?","yes | no","""single-valued""","TRUE",
"WO-01b","WO","Order of S and V","What is the order of S and V?","NA | S>V | V>S","""single-valued""","TRUE",
"WO-01c","WO","Order of S and O","What is the order of S and O?","NA | S>O | O>S","""single-valued""","TRUE",
"WO-01d","WO","Order of V and O","What is the order of V and O?","NA | V>O | O>V","""single-valued""","TRUE",
"WO-01e","WO","First clausal element","What is the first element in a transitive clause?","no dominant order | s-first | v-first | o-first","""single-valued""","TRUE",
"WO-01f","WO","S-first order","If the first element is S, what is the full word order?","NA | svo | sov","""single-valued""","TRUE",
"WO-01g","WO","V-first order","If the first element is V, what is the full word order?","NA | vso | vos","""single-valued""","TRUE",
"WO-01h","WO","O-first order","If the first element is O, what is the full word order?","NA | ovs | osv","""single-valued""","TRUE",
"WO-02","WO","Adj order","What is the common and basic word order for Attributive and Noun?","attr-n | n-attr | no dominant order | NA","""single-valued""","FALSE",
"WO-03","WO","Possession order","What is the common and basic word order for Possessor (sometimes, ""genitive"") and Possessed (noun) for the open class of nouns?","pssr-pssd | pssd-pssr | no dominant order | NA","""single-valued""","FALSE",
